

EXPERIMENT: exp
METHOD: MI_ztest x SKIP
FUN_FORM: NLIN

oracle
CONTEXTS_OBSSHIFT_CFDSHIFT
	METRIC:mi
			7_1_6_0_1			[f1-p] 0.0 	+-0.0 (0.0) 			[f1-c] 0.71 	+-0.14 (0.02) 			[f1-a] 0.0 	+-0.0 (0.0) 	
			8_1_6_0_1			[f1-p] 0.0 	+-0.0 (0.0) 			[f1-c] 0.7 	+-0.13 (0.02) 			[f1-a] 0.0 	+-0.0 (0.0) 	
			9_1_6_0_1			[f1-p] 0.0 	+-0.0 (0.0) 			[f1-c] 0.71 	+-0.13 (0.02) 			[f1-a] 0.0 	+-0.0 (0.0) 	
			10_1_6_0_1			[f1-p] 0.0 	+-0.0 (0.0) 			[f1-c] 0.74 	+-0.16 (0.03) 			[f1-a] 0.0 	+-0.0 (0.0) 	
	OVERALL
		x_x_x	[tp-pairs] 0.0	[fp-pairs] 0.0	[tn-pairs] 884.0	[fn-pairs] 766.0	[f1-pairs] 0.0	+-0.0(0.0)
				[tp-adj] 0.0	[fp-adj] 0.0	[tn-adj] 660.0	[fn-adj] 766.0	[f1-adj] 0.0	+-0.0(0.0)
				[tp] 1980.0	[fp] 1320.0	[tn] 0.0	[fn] 0.0	[f1] 0.75	+-0.26(1.39)
				[jacc] 0.12	[ari] 0.33	[ami] 0.33

EXPERIMENT: exp
METHOD: MI_ztest x SKIP
FUN_FORM: NLIN

EXPERIMENT: exp
METHOD: MI_ztest x SKIP
FUN_FORM: NLIN
