X	5_1_20_0_sz	5_1_20_0_sz_conf	5_1_20_1_sz	5_1_20_1_sz_conf	5_1_20_2_sz	5_1_20_2_sz_conf	5_1_20_3_sz	5_1_20_3_sz_conf	5_1_20_4_sz	5_1_20_4_sz_conf	5_1_20_5_sz	5_1_20_5_sz_conf	5_1_20_6_sz	5_1_20_6_sz_conf	5_1_20_7_sz	5_1_20_7_sz_conf	5_1_20_8_sz	5_1_20_8_sz_conf	5_1_20_9_sz	5_1_20_9_sz_conf	5_1_20_10_sz	5_1_20_10_sz_conf	5_1_20_11_sz	5_1_20_11_sz_conf	5_1_20_12_sz	5_1_20_12_sz_conf	5_1_20_13_sz	5_1_20_13_sz_conf	5_1_20_14_sz	5_1_20_14_sz_conf	5_1_20_15_sz	5_1_20_15_sz_conf	5_1_20_16_sz	5_1_20_16_sz_conf	5_1_20_17_sz	5_1_20_17_sz_conf	5_1_20_18_sz	5_1_20_18_sz_conf	5_1_20_19_sz	5_1_20_19_sz_conf
10	0.0	0.0	0.51	0.23	0.57	0.24	0.62	0.22	0.53	0.22	0.45	0.17	0.38	0.15	0.37	0.14	0.33	0.12	0.31	0.11	0.29	0.09	0.21	0.06	0.21	0.05	0.17	0.04	0.18	0.05	0.08	0.01	0.09	0.03	0.02	0.0	0.03	0.0	0.0	0.0
11	0.0	0.0	0.48	0.25	0.53	0.24	0.6	0.22	0.46	0.18	0.42	0.17	0.35	0.15	0.32	0.11	0.3	0.11	0.26	0.09	0.26	0.09	0.22	0.07	0.2	0.06	0.17	0.05	0.17	0.05	0.07	0.01	0.08	0.02	0.02	0.0	0.03	0.0	0.0	0.0
12	0.0	0.0	0.47	0.24	0.54	0.24	0.45	0.18	0.41	0.14	0.39	0.15	0.33	0.13	0.32	0.11	0.3	0.11	0.25	0.09	0.26	0.1	0.19	0.05	0.18	0.04	0.15	0.03	0.14	0.03	0.05	0.01	0.07	0.02	0.02	0.0	0.03	0.0	0.0	0.0
13	0.0	0.0	0.44	0.25	0.5	0.21	0.43	0.16	0.35	0.13	0.35	0.12	0.31	0.1	0.3	0.1	0.29	0.1	0.24	0.1	0.25	0.1	0.17	0.05	0.16	0.04	0.15	0.03	0.11	0.03	0.05	0.01	0.06	0.01	0.02	0.0	0.03	0.0	0.0	0.0
14	0.0	0.0	0.41	0.23	0.39	0.16	0.4	0.14	0.34	0.1	0.31	0.08	0.3	0.1	0.27	0.1	0.25	0.09	0.19	0.07	0.2	0.08	0.16	0.04	0.13	0.04	0.13	0.03	0.1	0.03	0.04	0.01	0.06	0.01	0.02	0.0	0.03	0.0	0.0	0.0
15	0.0	0.0	0.42	0.23	0.42	0.16	0.36	0.11	0.3	0.08	0.31	0.11	0.28	0.09	0.23	0.05	0.21	0.06	0.15	0.04	0.16	0.05	0.13	0.04	0.12	0.04	0.11	0.03	0.09	0.02	0.02	0.0	0.05	0.01	0.02	0.0	0.03	0.0	0.0	0.0
16	0.0	0.0	0.41	0.22	0.32	0.1	0.28	0.08	0.2	0.05	0.2	0.06	0.25	0.06	0.14	0.03	0.13	0.03	0.12	0.03	0.11	0.03	0.1	0.03	0.09	0.03	0.09	0.02	0.06	0.02	0.01	0.0	0.05	0.01	0.02	0.0	0.02	0.0	0.0	0.0
17	0.0	0.0	0.3	0.11	0.24	0.07	0.2	0.05	0.13	0.03	0.17	0.05	0.26	0.1	0.1	0.02	0.09	0.02	0.09	0.02	0.09	0.03	0.07	0.01	0.07	0.01	0.06	0.01	0.05	0.01	0.01	0.0	0.05	0.01	0.02	0.0	0.02	0.0	0.0	0.0
18	0.0	0.0	0.27	0.11	0.07	0.01	0.06	0.01	0.07	0.01	0.06	0.01	0.22	0.09	0.05	0.01	0.04	0.01	0.05	0.01	0.05	0.01	0.04	0.0	0.04	0.01	0.04	0.01	0.02	0.0	0.01	0.0	0.03	0.0	0.01	0.0	0.0	0.0	0.0	0.0
19	0.0	0.0	0.07	0.01	0.07	0.01	0.06	0.01	0.07	0.01	0.06	0.01	0.05	0.01	0.05	0.01	0.04	0.01	0.05	0.01	0.05	0.01	0.04	0.0	0.03	0.0	0.04	0.01	0.02	0.0	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0
